Nama Tempat,Longitude,Latitude,Rating
"MEDIA GROUP TEHNOLOGI ""spesialis servis laptop solo""",110.81348835888721,-7.543173692768068,4.7
Service Laptop dan Komputer Solo,110.85535400965200,-7.563020827096307,4.9
BK COMPUTER SOLO (PUSAT SERVICE LAPTOP),110.79450124109600,-7.564927340964982,4.8
NEO COMPUTER SOLO,110.84408429999100,-7.57169370588339,4.8
Service laptop dan komputer surakarta solo,110.83371042943900,-7.533117011410761,4.9
Placido Komputer,110.8021981705430,-7.557160799625433,4.5
Servis Laptop dan Komputer UltimaCom Solo,110.83299359999100,-7.587204353184146,5.0
Cahaya Computer Solo,110.8501623588870,-7.556799911629134,4.5
Angkasa Computer,110.84324847054300,-7.5603399999999965,4.9
Oni Service (Komputer) Solo,110.83497938220000,-7.5629065703377165,4.8
"MM COMPUTER SOLO, Pusat service laptop, Service Macbook",110.79912602330500,-7.563487711482076,4.2
JETCOM Computindo,110.79730726440900,-7.566488699869652,4.9
Service laptop solo - SMD COMPUTER,110.79466334109600,-7.564548840952722,4.5
Rizky Comp Solo,110.77945541164800,-7.558030546913918,4.7
Victor Computer,110.81318265888700,-7.579851041448322,4.5
ENTER COMPUTER service laptop,110.85659274109600,-7.554189611152856,4.9
servis laptop wahono,110.83717989999100,-7.54921212889782,5.0
Service Laptop Solo - SS Computer,110.79771679999100,-7.550838405247176,5.0
Vanjava Computer,110.858155356853,-7.550838405247176,4.9
Android Computer,110.82397145454400,-7.592244528457561,5.0
Tisanda Computer,110.86047749999169,-7.554467288392424,4.3
D@risComp Bengkel Laptop Notebook Komputer,110.81113566922025,-7.529437869451061,4.8
Risc Computer Service Division,110.79890892943945,-7.564430070566533,4.6
LAPTOP RUMAHAN,110.79129348342471,-7.572465723547936,5.0
Delta Computer,110.85429302330506,-7.56412704093909,4.8
Oni Service (Komputer) Solo,110.83497669999169,-7.56291853528094,4.8
Suha Computer,110.8064995938573,-7.578384553593998,4.2
Saung computer/ Klinik Laptop,110.85953617667829,-7.554335924559351,4.3
JARVIS - Jasa Instal Ulang Laptop dan Komputer Solo (Surakarta),110.78485369999167,-7.5675762058643485,4.7
Bolang Komputer,110.80894728633989,-7.540084971159958,4.6
Catatan Tuser Computer Laptop,110.80145441933712,-7.54645889172044,4.9
Marjan Computer - Jual Beli - Service Laptop Solo,110.79243137054391,-7.559998064723543,4.7
Kuraki Komputer Solo,110.8498462822006,-7.560326008174857,4.6
Komputer Cepat,110.81835250428989,-7.574040088211509,4.3
Service Laptop Solo [Solo Home Service],110.84926019999166,-7.5621622058393285,5.0
MSC Mitra Surya Computer Solo,110.86033069446937,-7.556304724441178,4.8
LENOVO Authorized Service Center by CV Tunggal Opti Persada,110.82036891164837,-7.581111117781006,4.9
DISCOUNT NOTEBOOK SOLO,110.81993329999167,-7.573668976487575,4.7
Servis Laptop (Mechanic comp),110.81868278772293,-7.5580680985985005,4.9
Kedhaton Komputer Solo,110.78232757054391,-7.561669970558026,4.8
Cahaya comp Solo & Dapur Faeyza,110.81735789999168,-7.554020976336226,5.0
NIKMAH COMPUTER,110.82653694109615,-7.591172224412154,4.2
Sentra Media Computer,110.85892099999167,-7.553965164732828,4.2
DM Kom ( Data Mahardhika ),110.82285559999168,-7.54378903525151,4.6
