Nama Tempat,Longitude,Latitude,Rating
Geeko Komputer - UNESA,112.6761595921009,-7.305483977779534,4.9
Poetra Comp,112.73798934082923,-7.336250384126054,4.9
AA Com,112.70240913694123,-7.269961739141244,4.3
MATRIX LAPTOP,112.75683627648495,-7.296623344571572,4.8
Geeko Komputer - ITS,112.78891675320337,-7.27940662638177,4.9
BERKAH KOMPUTER,112.68544527648496,-7.309456768555928,4.9
ninjAtom,112.75925053880202,-7.260934350778755,5.0
Suryana Komputer Sejahtera,112.74137509976659,-7.274997154607559,5.0
EZPC,112.75404677648496,-7.3115855741695555,4.9
Servis Laptop 3A,112.73123283324955,-7.308743685527031,4.9
MACSUS Company,112.8022637457976,-7.285509036238459,4.8
B IT Service Laptop,112.75066360770447,-7.326898626568841,5.0
ninjAtom Rungkut,112.77206263839183,-7.327516503475626,5.0
SonCom,112.75614099976654,-7.297026509961651,4.7
Schiene Tren Dev,112.72899099906626,-7.311701595810496,5.0
Merah Putih Computer,112.73070761281356,-7.305742263408029,4.6
KiS,112.73791739055221,-7.29603689486227,5.0
Geeko Komputer - UNESA 2,112.67086427825892,-7.302420223271739,5.0
Star Computer,112.76459138886148,-7.274835788829546,5.0
Kuroji Tech,112.73987215090035,-7.269386810932448,5.0
SAR-IT,112.6417959697743,-7.247019334671298,5.0
AA.COM - Simo Jawar,112.68041977908852,-7.255193183335588,4.7
Rhinos Komputer,112.70457191494208,-7.309059175198282,5.0
Putra Arjuna Computer,112.66110415356732,-7.260669333825529,5.0
FIND COMP,112.64651293671528,-7.256582477772392,4.7
AVM Komputer,112.6328968823562,-7.259379236638262,5.0
RIZKI CELL,112.6891516243545,-7.255926087392016,4.8
Servis Laptop Mahardika,112.78645781441092,-7.254396912164799,4.8
BINTANG COMP,112.75200777063827,-7.236286029487817,4.9
Geeko Komputer - UNAIR,112.77432374935314,-7.265745947978344,5.0
Ivan Cell,112.74496965427434,-7.2420759921622455,5.0
WONG.AITI,112.76247911449678,-7.224365284232322,5.0
ABi Comp Surabaya,112.73707323103677,-7.260126574767408,5.0
TN computer,112.7727415614726,-7.211901370197501,4.6
Rajee Servis,112.75935803823728,-7.219581399152201,4.5
Duta Securindo,112.78989448675563,-7.259449916749764,5.0
Technophile Service,112.72597074480211,-7.254225093315893,5.0
Ayooservis Surabaya,112.75412321025783,-7.25354394346321,5.0
NBPC Center Service Laptop,112.75214910464521,-7.2732117305146895,5.0
Raya Service,112.77862608916837,-7.298025633635402,4.9
PRAJA COMP,112.76413208356557,-7.297013196787826,5.0
m-computer,112.80148987265444,-7.2836488158214125,4.9
Adif computer,112.76637763372939,-7.327587778083953,4.6
IT Service,112.77107623419036,-7.277019769983027,4.7
ECOMSURABAYA,112.79686550898327,-7.324843592475296,5.0
Calosa Laptop & Gadget Service Center,112.77500068905016,-7.281190655554218,4.9
Laptop Q,112.76154541524517,-7.2658972189691955,4.5
DscomputerIn., 112.71100592228258,-7.322185632147345,5.0
Alhaitam Technology,112.7524679664855,-7.320884628156279,4.9
Sinar Computer,112.73714482737803,-7.317769700314234,4.7
CALOSA SERVICE CENTER - ROYAL PLAZA,112.73422658404700,-7.308490259935487,5.0
Aseng Computindo,112.73178545455622,-7.237789404686925,5.0
CompRijal,112.74752772185708,-7.238602474395953,5.0
Golden Laptop,112.78485820714945,-7.259349648676369,4.7
Alpu Service Laptop dan Komputer,112.79790447162893,-7.2830186951229905,4.9
Multindo service laptop,112.76372417631681,-7.295227249475418,5.0
Service Komputer Laptop Mas Atenk, 112.76286586944315,-7.304251562735967,4.9
"ABBA Service Komputer, Laptop & Desain Grafis",112.75565609170448,-7.2780294696591366,5.0
Inovasi Media Pratama,112.76414614456517,-7.303920110782849,4.9
Genius Kertajaya,112.75247317108355,-7.273951856984612,4.7
JAGO LAPTOP SURABAYA,112.776334102171,-7.309028135683877,4.9
KER26 Service Laptop,112.75733134456517,-7.242141565473768,5.0
Quality Service Center,112.7511515350749,-7.257808148069213,4.8
Frizta Computer,112.7937291218157,-7.271988180143046,4.6
Aira Service Computer & CCTV Surabaya,112.76746493148205,-7.269944808221399,4.8
Rytech Comp Surabaya,112.79922228580708,-7.284759043868939,5.0
SATRIA-KOM,112.76847013839186, -7.283055663933613,5.0
Toko Berkat Anugerah Komputer,112.79876209906625,-7.258427151664962,5.0
Laptop K1,112.777304427225,-7.296399267127487,5.0
Dapur IT Computindo,112.7692363426127,-7.298272247869675,4.2
Calosa Laptop & Gadget Store Klampis by Skytech, 112.77678944310081,-7.280223198348648,4.9
Kaledia Komputer,112.75822066044104,-7.288626446440992,4.9
Tecomp99 Surabaya,112.76680372917752,-7.280112651121084,4.1
Asus Service Center Surabaya,112.76010893556305,-7.29611845248409,4.7
