Nama Tempat,Longitude,Latitude,Rating
Duta Media Official,110.38918043066072,-7.801923700074748,4.9
Jogja Service Laptop,110.35127779548995,-7.792450910858182,4.9
Service Komputer & Laptop Panggilan Jogja - IPTech.ID,110.33655283648262,-7.826340340862568,5.0
Tren Computer & Laptop Jogja, 110.38618192483901,-7.785026353146108,4.9
SINAR LAPTOP JOGJA (Service Laptop Jogja),110.40507366879339,-7.810456966457283,5.0
Jual Beli Servis Laptop & Komputer - Kings Computer,110.34305663648223,-7.806444915909899,4.6
Service Laptop & Computer ( Planet Laptop & Computer ),110.38997729415364,-7.806133574546236,4.9
"MRD_Comp Jasa Service Laptop, Instal, Sewa Laptop dan jual-beli laptop Yogyakarta",110.39395349947914,-7.785575065718881,5.0
Servis laptop jogja (Read-1 Comp),110.38305998413625,-7.810180548818359,4.5
Medium Laptop Jogja (Jual-Beli & Service Laptop Jogja),110.39500639947914,-7.780128654945872,5.0
Salon Laptop Jogja ( Service Laptop Jogja ),110.41067593016487,-7.783698762785448,4.9
Logic Computer,110.37315439600341,-7.793127056838685,4.8
AFTROCOM (Servis Laptop Jogja - Servis Komputer Jogja),110.37064304018251,-7.820720556563095,5.0
INULDELI JOGJA (Servis & Sparepart Laptop),110.34734156085067,-7.785026846390129,4.9
PRO COMPUTER JOGJA,110.37285249947914,-7.910106600240847,5.0
Laptop Plus Jogja (Spesialis Servis Laptop & PC Komputer),110.41554739947914,-7.828247589128863,4.9
Perfecto laptop ll spesialis service laptop ll jual beli laptop,110.38881193016489,-7.803910384241565,4.9
LSC Jogja Cbng 1 - Service Laptop Jogja,110.37348223810761,-7.744191888673067,4.7
"St Computer Pusat Komputer,Cctv,Aksesoris dan Servis Laptop",110.37938723016488,-7.815001824095116,4.4
Service laptop jogja (Rumah Service Laptop),110.41921337673608,-7.828391950671759,5.0
"Service Laptop & jual beli laptop ""LAPTOPGUARD 2""",110.38748263648223,-7.808222346303886,4.9
Ivy Computer Service ( Servis & Jual Beli Laptop Jogja ),110.38771867619351,-7.808477458711307,5.0
ELS Computer Yogyakarta,110.37370813016491,-7.777430370104319,4.7
ALIFindo Service Komputer & Laptop,110.34522894739575,-7.761485536811851,4.8
AB Computer,110.38982049153644,-7.806217459338609,4.8
Adidaya Komputer - Service Laptop Jogja,110.40765146879338,-7.810016579804085,4.9
Doctor Laptop Jogja,110.38444816085068,-7.816111193147021,4.9
JAGO SERVICE MOTHERBOARD PC & LAPTOP JOGJA,110.32634619652774,-7.804515785843068,5.0
Alhicomp Computer,110.39683296879338,-7.818680563967744,4.4
Lasercom 1 Service Jual Beli Laptop,110.37137034550777,-7.792282565172115,4.7
"TComp Jogja, Service Laptop, Jual Laptop, Beli Laptop",110.40003209153643,-7.7826431399586475,4.7
Rolas Computer ( Service Laptop & Komputer ),110.39122046085068,-7.8241262367233935,5.0
Service Laptop Brotherhood Tech,110.37426280742184,-7.76145919596856,5.0
Nuvus Komputer,110.43191156085065,-7.779645713467352,4.8
Taktiktop.com,110.40810807619354,-7.793469181346768,4.9
TOK'S CELL SERVICE  LEPTOP,110.39039155345048,-7.804834410199155,5.0
ISOTRONIK COMP,110.38871052276473,-7.773877459221486,4.9
Akass Computer,110.39996072276473,-7.80213525248769,4.2
Sonny komputer (service komputer & notebook),110.38672956879337,-7.7990179740438705,5.0
Lasercom UPY | Service Jual Beli Laptop,110.34047703648213,-7.8058477038105964,4.8
DSG IT SUPPORT- Digital Solution Globalindo,110.38315492298943,-7.810227112993293,4.8
Prisma Computer & Laptop,110.35690192065961,-7.798733321710168,4.7
MH Komputer,110.38228695345049,-7.806483059784464,5.0
BKJ Bengkel Komputer,110.38498351536457,-7.793912601045369,4.8
Neo PaneNT Computer,110.37269767619354,-7.797659397515333,4.6
Service laptop bantul,110.33905668413625,-7.880102933868488,4.9
Sahabat Laptop,110.38882857881009,-7.773160157004139,5.0
Miui Center Service,110.38680060021699,-7.793196297271678,4.3
KEISA komputer,110.39027674299042,-7.805016405399121,5.0
Monster Laptop UGM,110.38032232298869,-7.765889531427028,4.4
