Nama Tempat,Foto,Deskripsi ,Longitude,Latitude,No Telp,Rating,Ulasan
Geeko Komputer - UNESA,,"Geeko Komputer One Stop Service Laptop. Tempat rujukan servis laptop favorit dan terbaik di Kota Surabaya dan sekitarnya. Terpecaya, Termurah dan Bergaransi",112.6761595921009,-7.305483977779534,081139011100,4.9,"- SUCI FATIHA : Pelayanan bagus admin ramah, rekomen buat yg mau servis laptop / komputer👍🏻👍🏻👍🏻
- Aufal Marom : Proses yang cepat , dan fast respon saat di chat, good service 👍👍👍
- Khukuh A. Yuda : Pengalaman saya sih gitu, karena Geeko ini berada pas di samping penjual es jus."
Poetra Comp,,"POETRA COMPUTER - Jasa Service Laptop Terbaik No.1 di Surabaya

kami adalah penyedia jasa service laptop pilihan utama di wilayah surabaya.dengan komitmen kami untuk memberikan pelayanan terbaik dan solusi perbaikan yang optimal bagi pelanggan kami.dengan reputasi terbaik terpercaya dan profesional yang team kami berikan kepada pelanggan.serta penggunaan sparepart/suku cadang berkualitas tinggi kami sangat bangga menjadi mitra terpercaya bagi kantor.perusahaan.mahasiswa dan konsumen umum di surabaya",112.73798934082923,-7.336250384126054,082277110168,4.9,"- Rizki Akbar : Uda 2 kali service di sini. Pelayanannya ramah bgt dan service nya cepet. Teknisinya juga memberi penjelasan dengan sangat jelas terkait kerusakan dan solusinya. Rekomen bgt pokonya, jempol 10000000X
- Lutfian Auli : Hampir putus asa pas laptop tiba-tiba mati..udah bolak-balik ke beberapa servisan laptop tetep aja gak mau hidup lagi..tapi akhirnya nemu juga jasa servis laptop terbaik di Surabaya ,dimana teknisinya pro, jujur gak mengada-ada; kalo ada komponen yang harus diganti ya diganti, kalo gak ya gak perlu... Udah gitu cukup terjangkau pula, cepat, dan akhirnya laptop yang cuma satu-satunya bisa berfungsi lagi dengan baik.. tenkyuuu ya.
- Henry Ricardo Handoyo : Poetra computer, tempat service laptop terbaik. Pelayanan dari customer service dan teknisinya sangat baik dan informatif tentang kendala pada laptop kita. Memberikan solusi yg terbaik juga, ruang tunggu yg nyaman ber AC, ada minuman panas-dingin & snack..pokoknya puas banget. Recommended ya guys...thank you."
AA Com,,"⚒️ Menerima Servis All Kerusakan 🛡️ Bergaransi Jual Beli Laptop Second 0857 3144 7447 · Simo jawar Vb-7 no.21, Surabaya, Indonesia 60281.",112.70240913694123,-7.269961739141244,085731447447,4.3,"- MV Channel: Waktu servis relatif cepat, kondisi perbaikan bagus.
- Poltac Pakpahan Tapi hasil service komputer dell saya bagus mantap
- Mas Rahman : Servise keyboard Keluhan : Trouble pada tombol K dan arah atas."
MATRIX LAPTOP,,"Spesialis servis laptop & macbook dipercaya lebih dari 20 tahun. Apapun tipe laptop & macbook anda, dengan level kerusakan ringan hingga berat, kami GARANSI bisa kembali nyala & normal",112.75683627648495,-7.296623344571572,087855489966,4.8,"- Farrel Sabilillah: Asus Rog GL503GE ganti cpu gen 8 haya sukses ditempat ini...joss teknisinya.
- Krea-C Media Official : Tempat service laptop..membuka kursus teknisi laptop juga
- Aan Eka : Biayanya murah cocok buat teman-teman kantoran/ yang lagi kuliah."
Geeko Komputer - ITS,,"Geeko Komputer One Stop Service Laptop. Tempat rujukan servis laptop favorit dan terbaik di Kota Surabaya dan sekitarnya. Terpecaya, Termurah dan Bergaransi",112.78891675320337,-7.27940662638177,081139011100,4.9,"- Lia Okta : Ganti keyboard, garansi panjang, dan terpercaya kualitas service laptop di geeko
- Kodok : Pelayanan bagus, harga terjangkau, recomended untuk area ITS karena dekat.
 - Pad : Langsung sat set kasih solusi ga pake lama www. mantap sukses mas 🙏"
BERKAH KOMPUTER,,"Service Laptop Surabaya Berkah. Berkah Laptop jasa service laptop di area terdekat Kota Surabaya, Sidoarjo, Gresik, sekitarnya. Pusat tempat service repair perbaikan notebook komputer",112.68544527648496,-7.309456768555928,081222333765,4.9,"- Widya Pinasthika : Harga ganti LCD sudah termasuk biaya antar ke kantor saya.
- Alwan Wijaya : Terpercaya dan rekomendasi, meskipun pas servis saya gak ada di rumah.
-Anikko Raja :  Pelayanannya bagus, mas firman nya jujur menyampaikan kondisi laptop apa adanya."
ninjAtom,,"Service Laptop dan Komputer
💡 Servis Laptop & PC 💻🖥
Perawatan, Perbaikan, Upgrade
Kembali ke Performa laptopmu yang Terbaik!",112.75925053880202,-7.260934350778755,081315004177,5.0,"- Yulia Rahmatul Azza : Pelayanan bagus, buat konsultasi ttg laptop, atau upgrade dll pokoknya oke deh
- Dwitama Lingga : Terimakasih Mas Iqbal atas service yang luar biasa! ✨🙌🔥
- Desokar gaming : Sebelum saya ke situ saya mau nanya nih...bisa gak upgrade ram pc di situ?"
Suryana Komputer Sejahtera,,PT. SURYANA KOMPUTER SEJAHTERA SERVICE BERGARANSI DI SURABAYA. Buka setiap hari pukul 04.00 - 21.00. Libur tanggal merah Nasional. Sejak 2016,112.74137509976659,-7.274997154607559,089637483721,5.0,"- Feldi Tri Kito :  Pelayanan yang bagus, memberi saran dan informasi yang lengkap.
- Nanda Grab : Saya konsultasi masalah laptop asus saya dan diberikan solusi yang terbaik..
- Clown Piece : Sangat Recommended, Terima kasih atas pelayanannya dan semoga sukses selalu."
EZPC,,"Solusi EZ Masalah Laptop & PC Kita pasti buat pengalaman service PC dan laptop kamu jadi lebih mudah, cepat, dan nyaman! EZPC Siap Melayani Anda
Berbekal pengalaman melayani 9352 pelanggan di kota Surabaya sejak tahun 2015, kami siap memberikan solusi terbaik, bagi permasalahan laptop, komputer dan printer anda.",112.75404677648496,-7.3115855741695555,089525372944,4.9,"- 
Yoppy Bagus Prasetiyo “Yoppy” : Good Job untuk crew, hasil service LCD nya mantapp..
- Purnomo Pur : Pengerjaan cepet, untuk karyawan dan teknisi untuk melayani customer sangat oke.
- dirrotun nasikhah : Pelayanan bagus, semua rama."
Servis Laptop 3A,,Servis Laptop 3A Professional Computer Depan Alfamidi Ketintang - Servis Komputer,112.73123283324955,-7.308743685527031,081615621529,4.9,"- fadhila inas : Reparasi keyboard bagus, ganti baterai juga bagus.
- Ridho Ilham Setyawan : Hasil gak memuaskan ,maaf bintang satu
- Kelurahan Semolowaru : Servisnya recomended, harga gak nguras kantong"
