Nama Tempat,Foto,Deskripsi,Longitude,Latitude,No Telp,Rating,Ulasan
Duta Media Official,,"Satu satunya Perusahaan Jasa Servis Laptop, Komputer, dan Printer yang memiliki banyak customer, baik dari jogja maupun luar jogja. Disini pelayanannya ramah, asyik, menyenangkan serta para teknisi nya pun sudah berpengalaman, memiliki sertifikat softskill, dan jujur dalam memberikan analisis kerusakan yang disampaiakan ke customernya secara langsung.",110.38918043066072,-7.801923700074748,083104278639,4.9,"- Nia Astriana : Pelayananya ramah, proses cepat, teknisi melayani dg sepenuh hati, jujur, dan bertanggungjawab, serta kalau ada apa2 setelah nya gratis konsultasi. Pokoknya rekomendet banget buat kalian yg cari tempat servis harga murah & berkualitas.                                -Lia Fita : Memberikan pelayanan yang sangat baik dan sanggat ramah untuk pelanggan                         -Devita Maharani : Rekomendasi banget buat laptop kalian yang sedang ada gangguan/butuh diservice✨✨"
Jogja Service Laptop,,"Jogja-ServiceLaptop Pusatnya service segala macam kerusakan pada laptop seperti mainboard, keyboard, LED, LCD dan lain-lain serta penjualan Adaptor Laptop, Keyboard Laptop, LCD Monitor Laptop, Battery Laptop, Harddisk, Processor.",110.35127779548995,-7.792450910858182,085102852477,4.9,"-Erina Na : MAKASIH BANYAK JSL. PUAS BANGET SM PELAYANANNYA, BAIK BGT DIJELASIN  DETAIL BAHKAN SERVICE MAINBOARD PUN BISA DITUNGGU DAN BIAYA TERJANGKAU. AKHIRNYA LAPTOPKU NYALA NORMAL LAGI 😭 YANG LAPTOP BERMASALAH HARUS SERVICE DISINI SIH, RECOMMENDED ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐ …                     - Dhevika Aji : enak banget service disini. mbaknya komunikatif dan ramah. harganya jg jauh lebih miring. rekomen banget gais👍🏻👍🏻👍🏻 …                     - Dimas Fadly : Service sehari jadi ditambah pelayanannya ramah dan ada garansinya juga. Rekomendasi buat pekerja atau pelajar yang ingin service laptop karena semua aspeknya dicek detail. Setelah selesai servis juga kita disuruh cek dulu semua kondisi ditempat 👌🏻 …"
Service Komputer & Laptop Panggilan Jogja - IPTech.ID,,"Jangan sampai mood pekerjaanmu menjadi hilang karena komputer dan laptop kamu rusak, yuk service di IPTech.ID masalah komputermu akan segera di atasi",110.33655283648262,-7.826340340862568,087880108885,5.0,"- Khoiriah Shanas : Pelayanannya mantapp, servicenya juga cepet banget, rekomended buat service laptop, komputer,dan lainnya, terus lumayan terjangkau juga🤩🫶🏻 …                                               -Faizal Arifin : Pelayanannya sangat baik, ramah dan cepat. untuk yang mau service laptop, komputer dll bisa datang kesini,, pokoknya terjangkau                           - Revita Dwi Agustina : Pelayanan sangat baik dan ramah, kalau yang mau service laptop dan komputer bisa kesini👌, sangat memuaskan👍👍👍 …"
Tren Computer & Laptop Jogja,,"Layanan service komputer dan laptop Acer, Asus, Hp, Dell, Toshiba, dan Lenovo ", 110.38618192483901,-7.785026353146108,085643157220,4.9,"- Vincent 25 : Tempat service terbaik, pelayanan terbaik, Harga terjangkau yang pasti ramah di kantong. awal konsultasi langsung di eksekusi di depan mata, setelah itu diberikan penjelasan detail.. diberikan masukan cara merawat laptop dan hal hal yang perlu di hindari. Disini masalah laptop saya langsung beres.. rekomendasi bangeet tempat service ini..                                - Abyan Zidan : Pelayanan sangat baik dan ramah, recommended buat yang mau tanya2 seputar keluhan laptop dll                                                - Rahmi Utami : Seneng banget service disini bener-bener ditanganin secepat kilat jadi makin oke laptop saya. Mantabbb banget Tren Computer & Laptop Jogja. Besok kesini lagi kalo mau service. Pelayanannya juga ramah bangetttt."
SINAR LAPTOP JOGJA (Service Laptop Jogja),,Kami dari Sinar Laptop Jogja menawarkan jasa service laptop & notebook dengan harga murah cepat dan bergaransi ,110.40507366879339,-7.810456966457283,085175171159,5.0,"- Bagas Al Kautsar : Tempat servis lain menyarankan saya untuk ganti total komponen, tapi disini bisa diperbaiki. Harga juga bersahabat dan pelayanan bagus, patut jadi rujukan awal servis laptop                                        - Irfani Fatma : Tempat service PC Komputer dan Laptop terbaik, penangaann cepat, harga sangat terjangkau
Sangat puas service di sini, tidak di ragukan lg service di Sinar Laptop Jogja. Mantap                          - Rama Dhani : Ganti keyboard + perbaiki dudukan engsel yg patah.
3 hari pengerjaan. Cepat, hasil perbaikan rapi + laptopnya dibersihin. 😁😁😁 …"
Jual Beli Servis Laptop & Komputer - Kings Computer,,"Kings Computer adalah “Toko Laptop Mahasiswa” yang berada di Yogyakarta. Dengan pengalaman sejak tahun 2012 telah menjadi langganan mahasiswa untuk mencari laptop 2nd, jual beli, servis dan sparepart.",110.34305663648223,-7.806444915909899,089612272000,4.6,"- Rm Nugraha Yesaya Raditya : Setelah saya datang ke toko ini, langsung di sambut dengan baik dan ramah. Jika ingin servis laptop, jual beli laptop bekas atau mati silahkan langsung datang kesini genkss. Sangat rekomendasi sekali. Pelayanan juga memuaskan, lokasi toko sebelum Universitas PGRI/UPY utara jalan ya.                       - Itok Kristianto : Rekomendasi buat yg pengen servis laptop atau pc, pelayanan ramah dan cepat, free cek kondisi dulu, dan diinfo dulu kalo ada yg butuh diperbaiki atau diganti. Overall sangat memuaskan                                - Sabrini Lidyawati : recomended banget, pengerjaannya baik dan pastinya amanah, suka banget sama bapak2 yang ngelayanin super baik poll"
Service Laptop & Computer ( Planet Laptop & Computer ),,"Service Laptop & Computer ( Planet Laptop & Computer ) merupakan salah satu tempat service laptop di Kota Yogyakarta. Service laptop ini melayani perbaikan berbagai jenis komputer seperti laptop, notebook, personal computer (PC) / komputer rumah dan merk komputer seperti komputer dan laptop lenovo, asus, acer, toshiba, dell dan lainnya.",110.38997729415364,-7.806133574546236,085743426922,4.9,"- Dini Sukma Apriliyani : Service disini mas nya amanah banget. Di kasih tau detail bgt kerusakan2 yg ada                                        -  Neni Sundari : Pelayanannya mantap banget, baik, ramah dan selalu konfirmasi ke user dulu. Responnya menjawab pertanyaan dari customer juga cepat, orangnya sabar & pokoknya memuaskan bgt service laptop disini. Harga pas sesuai dengan kantong mahasiswa ✨                                  - Rahmi Anti : Pelayanan bagus, Recommended
Harga bersahabat, cepat dan amanah🙏 …"
"MRD_Comp Jasa Service Laptop, Instal, Sewa Laptop dan jual-beli laptop Yogyakarta",,"Menerima / Sedia: Jasa service All kerusakan (Laptop), Sewa Laptop / Rental Laptop,  Laptop Mati Total / Service Mainboard, Jasa instal windows 7, 8, 10, 11, instal aplikasi, game, dll (Laptop & PC), Ganti Sparepart (Laptop & PC).",110.39395349947914,-7.785575065718881,082311177474,5.0,"- Fatrian Fahmi Adnan : The professional services, good and fast responsive 🔥 sudah beberapa kali servis di sini dr jaman maba, hasilnya sangat tidak mengecewakan, harga sangat terjangkau dan dikasih diskon juga.                     - Shofi Berly  : Bener bener bagus pelayanannya, baik, ramah terus membantu banget orangnya hihi terima kasih yaa next kesini lagi kalo instal instal🙌                                      - Muhammad Ashar Sahiz Pardana : Pengerjaan cepat dan tepat. Full Recommended disini🔥"
Servis laptop jogja (Read-1 Comp),,"Servis laptop jogja (Read-1 Comp) merupakan salah satu tempat service laptop di Kota Yogyakarta. Service laptop ini melayani perbaikan berbagai jenis komputer seperti laptop, notebook, personal computer (PC) / komputer rumah dan merk komputer seperti komputer dan laptop lenovo, asus, acer, toshiba, dell dan lainnya.",110.38305998413625,-7.810180548818359,089666588341,4.5,"- Deidara Akatsuki : Terbaik masnya baik jujur kalau gk ada yg diganti dia bakal bilang gk perlu dan masih bsia di service amanah dan bisa ditunggu                             - Nescy Frans : Pelayanan nya keren, bisa ditunggu                                         - Hery Elfaruq : Pelayanan nya sangat ramah. Orang nya ga cuek suka bercanda. Servisnya rekomended sekaleee"
Medium Laptop Jogja (Jual-Beli & Service Laptop Jogja),,"Pusat layanan Service laptop, Sparepart laptop, dan Jual-Beli laptop bekas terbaik bergaransi.",110.39500639947914,-7.780128654945872,081393114114,5.0,"- Petra Dutawan Sabdanto : Pelayanannya ramah, harga terjangkau untuk mahasiswa, service laptopnya cepat 1 minggu selesai dengan tipe kerusakan lcd remang...top markotop medium laptop 🤩👍🏻👍🏻                   - Mira Ardelia : Pelayanannya sangat ramah, mas2nya helpful dan jadinya cepat hanya 1 hari jadi. Servis Upgrade SSD, Caddy, Service Charger juga sangat terjangkau. Semoga awet teruss                       - Ambareni Widjaya : Udah beberapa kali service disini. Kendala laptop langsung tertangani dan tau problemnya apa. Pengerjaan juga cepat, bisa di tracking dan confirm by wa.  Awal tanya 3 harian, ternyata hari ini kesana besoknya udah jadi, cepat.
Please next time bisa dipastikan/ deal dulu dengan customer apa aja yg mau dibetulkan. Thank you medium laptop"
